year,month,date,location,cause,deaths,property_damages,year_year,year_month,year_day,date_year,date_month,date_day
1970-01-01 00:00:00.000001992,sep,1970-01-01 00:00:00.000000007,"Azad Kashmir,Punjab,Jammu and Kashmir,North-West Frontier Province","Heavy rain,Landslide,Severe weather",,nan,1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000001995,july,,nan,"Heavy rain,Severe weather(River Indus started flooding",,nan,1970,1,1,,,
1970-01-01 00:00:00.000002003,july,1970-01-01 00:00:00.000000022,Sindh,Heavy monsoon rainfall,484.0,"4,476 villages affected",1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000002007,july-aug,,Khyber-Pakhtunkhwa,"Heavy rainfall,melting of glaciers",152.0,nan,1970,1,1,,,
1970-01-01 00:00:00.000002009,july-aug,,Sindh(Karachi),Heavy rainfall,26.0,nan,1970,1,1,,,
1970-01-01 00:00:00.000002010,july-aug,1970-01-01 00:00:00.000000026,"Almost all Pakistan(Punjab,Sindh,KPK,Balochistan)",Heavy monsoon rainfall,,nan,1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000002011,aug-sep,1970-01-01 00:00:00.000000011,"Sindh,Southern Balochistan,Eastern Punjab and Jammu Kashmir",Heavy rainfall,434.0,people and 1.2 million homes affected as well 1.7 million acres,1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000002012,sep,1970-01-01 00:00:00.000000012,"Punjab,Sindh,Balochistan,KPK",Heavy monsoon rains,455.0,"thousands of homes destroyed, with thousands of acres of arable land affected",1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000002013,aug,1970-01-01 00:00:00.000000005,Almost all Pakistan,Heavy monsoon rains,1700.0,"66,000 people were affected by the rain and resulting floods,hundreds of houses collapsed",1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000002014,sep,1970-01-01 00:00:00.000000002,"Azad Kashmir,Gilgit Baltistan,Punjab",Torrential rainfall,280.0,"2,550 villages affected,80,000 people evaculated",1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000002015,july,,KPK(Chitral),Heavy monsoon rains,302.0,"101 injured,4517 houses damage,2276 villages effected",1970,1,1,,,
1970-01-01 00:00:00.000002016,march-may,,"Punjab,KPK,,Gilgit Baltistan,Azad Kashmir",Heavy pre-monsoon rains,271.0,"279 people injured,2929 houses damaged",1970,1,1,,,
1970-01-01 00:00:00.000002016,june-sep,,"KPK,Balochistan,Azad Kashmir",Heavy monsoon rains,153.0,"113 injured,1452 houses damaged",1970,1,1,,,
1970-01-01 00:00:00.000002017,aug,1970-01-01 00:00:00.000000028,Sindh(Karachi),Heavy monsoon rains,23.0,nan,1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000002018,july,1970-01-01 00:00:00.000000003,Punjab,Heavy monsoon rains,6.0,nan,1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000002019,feb,1970-01-01 00:00:00.000000020,"KPK,Balochistan,Punjab",Heavy monsoon rains,,300 people were displaced,1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000002020,aug,1970-01-01 00:00:00.000000025,Sindh(Karachi),Heavy monsoon rains(due to poorly mantained drainage system,41.0,nan,1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000002021,july,1970-01-01 00:00:00.000000028,"Islamabad(E-11,F-10 and D-12)",Cloudburst,,water entered the basement of houses and plazas,1970,1,1,1970.0,1.0,1.0
1970-01-01 00:00:00.000002022,june,1970-01-01 00:00:00.000000014,"Balochistan,Gilgit Baltistan,Southern parts of Punjab,Sindh,Kashmir,Khyber Pakhtunkhwa",Heavy monsoon rains,,"5 Million+ missing people,670,000+ houses affected",1970,1,1,1970.0,1.0,1.0
